alias,villain_id
The Prince of Puzzlers,1
The Count of Conundrums,1
The King of Crime,1
The Enigmatic Egotist,1
The Laughing Man,2
The Clown Prince Of Crime,2
The Harlequin Of Hate,2
The Jester of Jackanapes,2
The Prankster of Plots,2
W.C. Whiteface,2
Mr. Pasty Whiteface,2
The Princess of Plunder,3
The Queen of Crime,3
Minerva Matthews,3
"Mrs. Klutz, Dance Teacher",3
Ms. Kitka,3
Kitanya Irenya Tatanya Karenska Alisoff,3
The Countess of Criminality,3
Minerva Mathews,3
Pengy,4
The Black Bird of Prey,4
Maestro of Criminal Umbrellas,4
P.N. Gwynne,4
"K.G. Byrd, Umbrella factory owner",4
Knott A. Fish,4
Don Juan Penguin,4
Waddling Master of Foul Play,4
The Rottenest Egg of Them All,5
Victor Fries,6
Mister Chronos,10
Progress Pigment,10
A.S. Scarlet,12
